username,total_pr_cnt
collymore,9
bytheway,20
schulzp,21
nilclass,113
pphetra,4
cachafla,1
osnr,31
mandad,6
jdodds,33
wvk,7
bansalakhil,35
arnihermann,26
osteele,175
bossmc,402
sausheong,7
jyp,58
eagleflo,100
jpetso,71
redinger,14
eljam,12
dannysmith,70
CHH,53
grantm,32
tonyla,5
minhajuddin,80
ddux,3
jeremywiebe,131
krzpob,9
glguy,187
strican,11
stevenwilkin,466
bdrewery,75
n13,110
robkinyon,75
lemonad,34
korc,2
mattmueller,17
nfisher,36
jekhor,117
endoplasmic,4
FastGeert,108
geoffhotchkiss,2
HannesP,3
seanb4t,29
nilakanta,2
lifedraft,10
hsribei,54
lp,8
zerodogg,16
mattcasto,1
pauldowman,26
mlambir,13
nickstenning,827
laknath,2
joannou,51
odalet,20
xclricky,1
shaokun,6
floatingatoll,228
glanotte,38
GavinJoyce,711
mmarschall,15
samuelcole,54
morganchristiansson,32
abner,35
yautah,4
TJC,37
jeffp,1
ahume,132
danilat,15
lholden,23
GCheung55,140
chrismetcalf,325
bltzr,24
gonzoua,17
eedrummer,350
nlhepler,227
noodl,7
wy100101,2
pcg79,76
khangtoh,7
donovan,143
kogakure,233
public,208
sbarthelemy,73
deanlandolt,38
Kikimora,4
nando,47
jcleblanc,66
copyhacker,10
Connorhd,40
brinchj,56
gertvv,55
xdotcommer,3
jart,393
bleargh45,19
allenwei,19
soulstompp,10
lopnor,6
wezm,272
jeresig,133
jjgod,24
luis-ca,10
diminish7,20
torjusb,11
jamalhansen,52
pvande,77
timmatheson,1
aler,5
michiels,98
sshwsfc,9
fstrozzi,23
ace,19
ondrejbartas,170
chrislloyd,147
dougal,50
ysth,15
bibleable,1
erikvanzijst,31
bhyde,8
bradly,55
toy,98
lwe,64
emschwar,27
horaci,1
moriarty,205
MichaelCereda,12
ericvh,15
dsci,14
seliopou,771
will,185
mars888,1
fourdman,1
rauchg,169
mfontani,28
lardissone,20
avar,141
arydjmal,1
jasonallen,6
mschrag,7
voodoorai2000,870
blackbear,1
cradle,5
mutru,21
hubgit,239
kEND,3
lak,12
