id,username,total_pr_cnt,repository_name,is_closed
MDExOlB1bGxSZXF1ZXN0Mjc0MDk5NTYz,collymore,9,vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MjY3MTA2NjQ2,collymore,9,vsf-wp,True
MDExOlB1bGxSZXF1ZXN0MjQyNDMwOTI1,collymore,9,Mage2Gen,True
MDExOlB1bGxSZXF1ZXN0MjQyNDI4OTYy,collymore,9,Mage2Gen,True
MDExOlB1bGxSZXF1ZXN0MjM3ODM3MzMy,collymore,9,awesome-vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MjA4MjU2NjY5,collymore,9,awesome-vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MTY2OTU5NTA4,collymore,9,vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MTU5MDM2OTMw,collymore,9,vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MTUyOTM3MTY0,collymore,9,vue-storefront,True
MDExOlB1bGxSZXF1ZXN0MzM1OTg1Nzkx,bytheway,20,vuetify,True
MDExOlB1bGxSZXF1ZXN0Mjk2MTc5MTM3,bytheway,20,buffalo,True
MDExOlB1bGxSZXF1ZXN0Mjg3NjY1Mjg4,bytheway,20,gosec,True
MDExOlB1bGxSZXF1ZXN0Mjg3MTg1ODYw,bytheway,20,go-gitlab,True
MDExOlB1bGxSZXF1ZXN0MTcwODgxNjI3,bytheway,20,stackdriver_exporter,True
MDExOlB1bGxSZXF1ZXN0MTAzNDA0ODI2,bytheway,20,build,True
MDExOlB1bGxSZXF1ZXN0ODA1NjU3MTU=,bytheway,20,etsy,True
MDExOlB1bGxSZXF1ZXN0Njk1NDEzMDI=,bytheway,20,graylog2-images,True
MDExOlB1bGxSZXF1ZXN0MTk0OTM0MzM=,bytheway,20,foodcritic,True
MDExOlB1bGxSZXF1ZXN0MTUxMDA2ODc=,bytheway,20,gitlabhq,True
MDExOlB1bGxSZXF1ZXN0MTIzOTEzMzY=,bytheway,20,fauxhai,True
MDExOlB1bGxSZXF1ZXN0MTIzOTAxNzA=,bytheway,20,fauxhai,True
MDExOlB1bGxSZXF1ZXN0MTIzODgyNTA=,bytheway,20,fauxhai,True
MDExOlB1bGxSZXF1ZXN0MTIzODQyMDY=,bytheway,20,fauxhai,True
